,Year,Population,GDP,Energy_consumption,Per_Capita_Energy_consumption,Energy_Intensity,Energy_Productivity,Region,Lat,Long,Per_Capita_CO2_Emissions,Nonrenewable_Sources,Renewable_Sources,Energy_Generation,Agriculture,Mining,Manufacturing,Utilities,Construction,Commercial,Transport,Residential,Solvents,Energy_Consumption
1,2001,19274701,1127062,5011.8,260.02,4446.783,224.882,AUS,-25.274398,133.775136,18.633456,205802,17838,223640,85.5,253.9,1188.3,1532,28.2,214.5,1215.2,398,62.3,5011.8
2,2002,19495210,1172160,5097,261.449,4348.382,229.971,AUS,-25.274398,133.775136,18.669633,207443.7,17426.3,224870,86.2,268.8,1207.4,1568.3,28.4,222.2,1217,389,65.6,5097
3,2003,19720737,1207160,5138.674,260.572,4256.829,234.917,AUS,-25.274398,133.775136,18.840502,203285.4,18835,222120.4,97.744,258.324,1174.991,1591.879,27.706,250.722,1265.905,411.604,59.8,5138.674
4,2004,19932722,1256117,5284.727,265.128,4207.193,237.688,AUS,-25.274398,133.775136,19.275912,210880.2,18904.2,229784.4,97.635,268.454,1136.581,1693.007,27.388,255.899,1327.831,415.031,62.9,5284.727
5,2005,20176844,1296365,5399.2,267.594,4164.877,240.103,AUS,-25.274398,133.775136,19.154242,208244.2,20405.5,228649.7,101.452,290.229,1163.688,1730.243,27.838,256.422,1358.051,410.877,60.4,5399.2
6,2006,20450966,1332593,5546.742,271.221,4162.367,240.248,AUS,-25.274398,133.775136,19.13089,211085.3,21744.1,232829.4,96.902,307.87,1231.36,1755.345,26.334,259.377,1388.188,417.966,63.4,5546.742
7,2007,20827622,1383822,5723.991,274.827,4136.363,241.758,AUS,-25.274398,133.775136,19.116584,221966.2,21186.3,243152.5,94.153,327.328,1258.667,1829.829,26.346,272.618,1425.686,426.662,62.7,5723.991
8,2008,21249199,1434441,5738.33,270.049,4000.395,249.975,AUS,-25.274398,133.775136,18.958251,223347.8,19869.3,243217.1,94.972,334.777,1207.474,1847.888,26.353,274.47,1458.023,431.174,63.2,5738.33
9,2009,21691653,1462225,5843.786,269.403,3996.503,250.219,AUS,-25.274398,133.775136,18.733085,228880.1,18644.5,247524.6,93.857,369.43,1171.116,1944.477,25.78,278.571,1460.138,437.417,63,5843.786
10,2010,22031750,1492456,5823.318,264.315,3901.835,256.29,AUS,-25.274398,133.775136,18.302993,230476,21803.1,252279.1,96.107,372.312,1259.499,1785.613,25.342,284.367,1490.824,444.253,65,5823.318
11,2011,22340024,1529212,5902.197,264.198,3859.633,259.092,AUS,-25.274398,133.775136,17.932947,227053,26524.2,253577.2,96.178,407.472,1330.246,1713.81,25.314,290.977,1524.386,454.096,59.718,5902.197
12,2012,22733465,1589129,5887.785,258.992,3705.039,269.903,AUS,-25.274398,133.775136,17.748264,224084.2,26655.974,250740.174,98.189,448.09,1214.631,1759.087,25.096,286.606,1547.646,453.35,55.09,5887.785
13,2013,23128129,1630206,5915.301,255.762,3628.561,275.591,AUS,-25.274398,133.775136,17.112156,216509.2,33199.4,249708.6,99.321,500.918,1265.301,1646.179,24.898,296.013,1574.027,455.116,53.529,5915.301
14,2014,23475686,1671501,5891.443,250.959,3524.642,283.717,AUS,-25.274398,133.775136,16.702699,212447.995,36588.684,249036.679,99.628,529.486,1234.033,1610.336,25.005,302.129,1592.194,447.766,50.867,5891.443
15,2015,23815995,1708151,5897.331,247.621,3452.465,289.648,AUS,-25.274398,133.775136,16.778989,218355.064,34035.669,252390.733,104.54,521.228,1112.796,1695.202,25.567,320.304,1615.859,456.244,45.59,5897.331
16,2016,24190907,1755478,6040.777,249.713,3441.101,290.605,AUS,-25.274398,133.775136,16.940672,219282.537,38146.048,257428.585,109.756,575.617,1110.199,1742.942,24.358,322.672,1645.504,460.903,48.825,6040.777
17,2017,24601860,1797041,6114.566,248.541,3402.574,293.895,AUS,-25.274398,133.775136,16.884174,217562.395,40454.576,258016.971,116.296,666.337,1080.088,1701.615,24.227,330.144,1691.357,458.49,46.011,6114.566
18,2018,24982688,1849880,6159.132,246.536,3329.476,300.348,AUS,-25.274398,133.775136,16.70632,216413.265,44642.84,261056.105,117.57,729.741,1079.715,1643.034,25.908,333.921,1720.935,458.396,49.912,6159.132
19,2019,25357553,1884969,6195.967,244.344,3287.039,304.225,AUS,-25.274398,133.775136,16.308204,212003.109,52023.637,264026.746,103.119,812.435,1050.208,1614.786,24.31,332.581,1748.411,460.866,49.252,6195.968
20,2001,6851887,411286,1450.5,211.694,3526.743,283.548,NSW,-31.840233,145.612793,NA,NA,NA,NA,29,23.3,345.8,432.9,5.1,60.3,423.9,123.7,17.9,1450.5
21,2002,6905434,419311,1445.7,209.357,3447.799,290.04,NSW,-31.840233,145.612793,NA,NA,NA,NA,29.6,24.6,355.4,436.8,5.2,62.6,416.4,112.6,17.9,1445.7
22,2003,6948072,428112,1510.475,217.395,3528.225,283.429,NSW,-31.840233,145.612793,NA,NA,NA,NA,30.669,27.158,364.138,448.706,5.02,72.489,418.491,126.204,17.6,1510.475
23,2004,6979675,442714,1574.793,225.626,3557.133,281.125,NSW,-31.840233,145.612793,NA,NA,NA,NA,29.827,33.036,380.225,469.759,4.057,74.04,438.463,126.686,18.7,1574.793
24,2005,7024605,450746,1544.916,219.929,3427.465,291.761,NSW,-31.840233,145.612793,NA,NA,NA,NA,29.414,35.992,344.658,463.953,3.56,73.814,450.772,124.153,18.6,1544.916
25,2006,7077860,457016,1545.985,218.425,3382.78,295.615,NSW,-31.840233,145.612793,NA,NA,NA,NA,29.597,34.76,331.038,469.8,4.833,74.655,456.464,125.337,19.5,1545.985
26,2007,7176800,465480,1568.894,218.606,3370.487,296.693,NSW,-31.840233,145.612793,NA,NA,NA,NA,29.202,35.158,350.965,455.942,4.838,77.567,471.775,126.848,16.6,1568.894
27,2008,7291829,477101,1610.708,220.892,3376.031,296.206,NSW,-31.840233,145.612793,NA,NA,NA,NA,28.885,35.274,322.451,515.887,4.835,76.313,483.191,127.573,16.3,1610.708
28,2009,7408540,482539,1592.215,214.916,3299.66,303.061,NSW,-31.840233,145.612793,NA,70456.7,2249.277,72705.977,28.353,35.478,308.107,511.217,4.718,76.694,479.187,130.761,17.7,1592.215
29,2010,7506058,492315,1643.209,218.918,3337.719,299.606,NSW,-31.840233,145.612793,NA,69579.1,3922.326,73501.426,28.57,41.747,362.388,476.018,4.642,79.232,498.474,134.038,18.1,1643.209
30,2011,7586514,504340,1665.73,219.565,3302.792,302.774,NSW,-31.840233,145.612793,NA,65802.4,4144.578,69946.978,28.85,46.269,400.898,444.833,4.618,81.836,504.886,136.988,16.553,1665.73
31,2012,7680783,516038,1619.595,210.863,3138.518,318.622,NSW,-31.840233,145.612793,NA,64707.9,4624.525,69332.425,29.391,52.835,355.72,441.083,4.566,80.231,506.64,135.519,13.609,1619.595
